Sample in Buffer,Sample in Window,TRIGGER,douta1[127:0],encrypted128[0][127:0],addra[0][6:0],douta2[127:0],encrypted128[1][127:0],addra[1][6:0],reset_1,encrypted128[2][127:0],encrypted128[3][127:0],encrypted128[4][127:0],encrypted128[5][127:0],in[0][127:0],in[1][127:0],in[2][127:0],in[3][127:0],in[4][127:0],in[5][127:0],done
11,11,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
12,12,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
13,13,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
14,14,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
15,15,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
16,16,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
17,17,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
18,18,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
19,19,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
20,20,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
21,21,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
22,22,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
23,23,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
24,24,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
25,25,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
26,26,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
27,27,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
28,28,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
29,29,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
30,30,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
31,31,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
32,32,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
33,33,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
34,34,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
35,35,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
36,36,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
37,37,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
38,38,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
39,39,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
40,40,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
41,41,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
42,42,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
43,43,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
44,44,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
45,45,0,00000000000000000000000000000000,9958fdec8e2d65c80160cfc0e66432fa,0,00000000000000000000000000000000,5d8b8af9f919c8e6dfc310d44dc36c19,1,1,e109ac33e298773a8a915b24c78e054f,8e9bb2290016cf2ac8435a4b637f6960,defc899e94c6b8ce8fedcee9e9ff3dcf,9292c41266e1f4e3e689ec80dfb602fe,ffd8ffe000104a464946000101000001,130f141d1a1f1e1d1a1c1c20242e2720,0707070909080a0c140d0c0b0b0c1912,393d38323c2e333432ffdb0043010909,00010000ffdb00430008060607060508,222c231c1c2837292c30313434341f27,0
